features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_adv+elo+standings+market_ext,4,33,0.15,2.2,97,55.7,7.44,4.38,1043.78
form_adv+elo,2,23,0.15,3.0,391,44.8,7.44,8.04,1080.43
form_adv+xg+elo+rest+market_ext,5,42,0.12,2.5,315,51.4,7.43,6.56,1065.61
form_adv+standings+market_ext,3,28,0.08,2.2,193,57.0,7.43,5.19,1051.9
elo+standings+rest,3,19,0.12,2.5,272,51.1,7.42,7.3,1073.04
xg+elo+standings+rest+market_ext,5,35,0.15,2.2,133,56.4,7.4,6.27,1062.7
form_adv+elo,2,23,0.03,2.5,471,51.6,7.33,13.07,1130.71
form_adv+elo+standings+rest+market_ext,5,36,0.05,2.5,433,51.3,7.32,10.51,1105.07
xg+elo+market_ext,3,24,0.2,2.2,90,55.6,7.31,6.84,1068.42
form_adv+elo+standings+market_ext,4,33,0.1,2.2,158,56.3,7.3,5.75,1057.51
