ws_gap,ws_dom,odds_min,odds_max,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
80,80,1.7,4.0,170,0.5117647058823529,5.211764705882355,248,0.45564516129032256,-6.419354838709677,-0.6037950664136611
80,70,1.7,99.0,170,0.5117647058823529,5.211764705882355,248,0.45564516129032256,-6.419354838709677,-0.6037950664136611
80,75,1.7,99.0,170,0.5117647058823529,5.211764705882355,248,0.45564516129032256,-6.419354838709677,-0.6037950664136611
80,75,1.7,4.0,170,0.5117647058823529,5.211764705882355,248,0.45564516129032256,-6.419354838709677,-0.6037950664136611
80,70,1.7,4.0,170,0.5117647058823529,5.211764705882355,248,0.45564516129032256,-6.419354838709677,-0.6037950664136611
80,65,1.7,99.0,170,0.5117647058823529,5.211764705882355,248,0.45564516129032256,-6.419354838709677,-0.6037950664136611
80,65,1.7,4.0,170,0.5117647058823529,5.211764705882355,248,0.45564516129032256,-6.419354838709677,-0.6037950664136611
100,65,1.5,3.0,136,0.5661764705882353,3.889705882352946,220,0.5318181818181819,-5.122727272727271,-0.6165106951871626
100,70,1.5,99.0,136,0.5661764705882353,3.889705882352946,220,0.5318181818181819,-5.122727272727271,-0.6165106951871626
100,80,1.5,99.0,136,0.5661764705882353,3.889705882352946,220,0.5318181818181819,-5.122727272727271,-0.6165106951871626
